id,data,categoria,descricao,valor,forma_pagamento
1,2023-01-02,Lazer,Jogos,129.76,Pix
2,2023-01-02,Alimentação,Supermercado,110.3,Cartão de débito
3,2023-01-02,Transporte,Aplicativo de transporte,108.26,Dinheiro
4,2023-01-02,Serviços,Lavanderia,31.52,Dinheiro
5,2023-01-03,Lazer,Streaming,188.5,Pix
6,2023-01-04,Educação,Plataforma online,270.33,Dinheiro
7,2023-01-05,Transporte,Pedágio,142.49,Dinheiro
8,2023-01-05,Serviços,Salão de beleza,218.99,Cartão de crédito
9,2023-01-06,Outros,Doação,244.7,Dinheiro
10,2023-01-06,Lazer,Bar,255.77,Boleto
11,2023-01-06,Moradia,Internet,789.58,Cartão de crédito
12,2023-01-07,Alimentação,Delivery,44.37,Dinheiro
13,2023-01-07,Moradia,Condomínio,1866.19,Cartão de crédito
14,2023-01-07,Educação,Mensalidade curso,602.7,Cartão de crédito
15,2023-01-07,Saúde,Consulta médica,139.65,Cartão de débito
16,2023-01-07,Transporte,Ônibus,43.83,Cartão de crédito
17,2023-01-07,Alimentação,Delivery,204.86,Boleto
18,2023-01-07,Transporte,Combustível,17.9,Boleto
19,2023-01-07,Outros,Presente,205.93,Cartão de crédito
20,2023-01-08,Educação,Livros,231.81,Dinheiro
21,2023-01-08,Saúde,Consulta médica,723.61,Boleto
22,2023-01-08,Outros,Diversos,197.73,Pix
23,2023-01-09,Alimentação,Feira,36.59,Cartão de débito
24,2023-01-10,Transporte,Ônibus,110.49,Pix
25,2023-01-10,Alimentação,Supermercado,85.43,Dinheiro
26,2023-01-10,Saúde,Consulta médica,405.0,Pix
27,2023-01-10,Lazer,Jogos,232.53,Cartão de débito
28,2023-01-11,Saúde,Consulta médica,182.62,Dinheiro
29,2023-01-11,Alimentação,Restaurante,215.79,Dinheiro
30,2023-01-12,Transporte,Combustível,48.67,Pix
31,2023-01-12,Educação,Plataforma online,182.8,Dinheiro
32,2023-01-12,Educação,Mensalidade curso,615.3,Pix
33,2023-01-12,Moradia,Água,1166.85,Boleto
34,2023-01-13,Saúde,Exames,412.25,Pix
35,2023-01-13,Alimentação,Restaurante,175.1,Cartão de débito
36,2023-01-13,Transporte,Estacionamento,66.49,Boleto
37,2023-01-13,Alimentação,Delivery,33.92,Dinheiro
38,2023-01-14,Educação,Plataforma online,865.26,Cartão de débito
39,2023-01-14,Saúde,Consulta médica,45.85,Cartão de crédito
40,2023-01-15,Lazer,Bar,256.18,Cartão de débito
41,2023-01-15,Serviços,Assinatura de app,383.29,Cartão de crédito
42,2023-01-15,Transporte,Ônibus,145.75,Dinheiro
43,2023-01-15,Lazer,Bar,199.17,Cartão de débito
44,2023-01-15,Alimentação,Restaurante,109.03,Dinheiro
45,2023-01-15,Transporte,Ônibus,68.66,Pix
46,2023-01-16,Transporte,Manutenção do veículo,142.98,Pix
47,2023-01-16,Moradia,Água,750.43,Cartão de débito
48,2023-01-17,Alimentação,Delivery,25.74,Dinheiro
49,2023-01-17,Educação,Livros,563.29,Pix
50,2023-01-17,Transporte,Manutenção do veículo,168.58,Dinheiro
51,2023-01-17,Alimentação,Supermercado,128.09,Cartão de crédito
52,2023-01-17,Moradia,Gás,726.25,Dinheiro
53,2023-01-17,Lazer,Cinema,72.41,Cartão de débito
54,2023-01-18,Vestuário,Roupas,93.51,Cartão de débito
55,2023-01-20,Vestuário,Acessórios,276.33,Boleto
56,2023-01-20,Educação,Livros,371.31,Pix
57,2023-01-20,Transporte,Estacionamento,159.6,Cartão de débito
58,2023-01-21,Moradia,Gás,1076.69,Dinheiro
59,2023-01-21,Moradia,Gás,824.31,Boleto
60,2023-01-21,Lazer,Show,194.34,Dinheiro
61,2023-01-21,Lazer,Jogos,222.57,Pix
62,2023-01-22,Outros,Doação,231.55,Cartão de crédito
63,2023-01-22,Alimentação,Feira,163.87,Pix
64,2023-01-22,Transporte,Estacionamento,159.92,Boleto
65,2023-01-23,Moradia,Gás,1810.88,Cartão de débito
66,2023-01-23,Alimentação,Lanchonete,35.97,Cartão de débito
67,2023-01-24,Vestuário,Acessórios,282.71,Cartão de débito
68,2023-01-24,Alimentação,Lanchonete,63.1,Cartão de crédito
69,2023-01-25,Moradia,Aluguel,783.24,Cartão de crédito
70,2023-01-25,Transporte,Ônibus,133.25,Cartão de débito
71,2023-01-26,Alimentação,Padaria,216.71,Cartão de crédito
72,2023-01-26,Vestuário,Roupas,382.93,Cartão de débito
73,2023-01-26,Alimentação,Delivery,62.93,Cartão de crédito
74,2023-01-27,Alimentação,Padaria,128.62,Boleto
75,2023-01-27,Educação,Material escolar,830.79,Cartão de débito
76,2023-01-28,Serviços,Salão de beleza,304.11,Cartão de crédito
77,2023-01-28,Outros,Doação,120.79,Dinheiro
78,2023-01-28,Transporte,Manutenção do veículo,19.44,Cartão de crédito
79,2023-01-29,Transporte,Pedágio,22.34,Pix
